source_id,target_id

k1-graph,k2-bkscript
k2-bkscript,k5-kscript
c-practice,k5-kscript
java-practice,k5-kscript
k5-kscript,bkscript2
interpreter1,bkscript2
compiler1,bkscript2

k2-this-is-bk,py-copycheck
k2-this-is-bk,y-grade1
k2-this-is-bk,y-lteam2
y-lteam2,k5-websvr
k5-websvr,k6-localhub
k6-localhub,connhub

connhub,mediahub
usag-lib,mediahub
connhub,dev-history
yas-web-lite,kzip-lite

r-practice,dshs
y-bootcamp,dshs
y-student,dshs
y-bootcamp,taskrit-teaming

k1-graph,k1-time
k1-graph,k1-kdm
k1-time,k2-time
k2-time,k3-time
k3-time,k5-lib
k3-time,k5-clock

k5-tlog,k7-testlog
k5-ksync,k7-syncit
k5-kmacro,usag-lib
k5-kmap,usag-lib
k5-convs,k7-imgconv
k5-convs,k7-fileconv
k5-clock,k7-thetime
k5-manager,uasg-lib
k5-manager,k7-powerlog

k1-kdm,k2-kdm
k2-kdm,k3-lib
k2-kdm,k3-kdm
k3-lib,k4-lib
k3-kdm,k4-kdm
k3-kdm,k4-kv
k3-lib,k4-kaesl

k4-lib,k4-kcom
k4-kv,k5-lib
k4-kdm,k5-lib
k4-kaesl,usag-lib

k5-lib,k5-kpwm
k5-lib,k5-kdm
k5-lib,k5-kv
k5-lib,k5-signtool
k5-kdm,k7-picit
k5-ext,usag-lib
k5-lib,usag-lib
k5-kv,fc-server
k5-kv,fc-desktop
k5-kv,fc-android
k5-kv,mediahub

k6-unitconv,metrics
k6-linecount,usag-lib

usag-lib,usag-kox
usag-kox,k7-syncit
usag-kox,aft
usag-kox,yas-desktop
usag-kox,yas-android
usag-kox,fc-server
usag-kox,fc-desktop
usag-kox,fc-android

uasg-lib,k7-syncit
uasg-lib,k7-picit
usag-lib,mediahub
usag-lib,aft
usag-lib,yas-desktop
usag-lib,yas-android
usag-lib,yas-web
usag-lib,yas-web-lite
usag-lib,fc-desktop
usag-lib,fc-android
yas-desktop,fc-desktop
yas-android,fc-android
